creative,ad_tone
HOUSE/AK01 GALVIN BRINGING ALASKANS TOGETHER,Support
HOUSE/AK01 GALVIN HARD WORK,Support
HOUSE/AK01 GALVIN IS HE REALLY,Contrast
HOUSE/AK01 GALVIN MARTY RUTHERFORD,Support
HOUSE/AK01 GALVIN PHIL MORROW,Support
HOUSE/AK01 GALVIN TIRED ATTACKS,Contrast
HOUSE/AK01 GALVIN TRIPS,Contrast
HOUSE/AK01 GALVIN&DCCC TRIPS,Contrast
HOUSE/AK01 YOUNG ENDORSEMENT,Contrast
HOUSE/AK01 YOUNG MISLEADING VOTERS,Contrast
HOUSE/AK01 YOUNG NOT ABOUT DON,Support
HOUSE/AK01 YOUNG ONLY ONE,Contrast
HOUSE/AK01 YOUNG WHATS SHE HIDING,Contrast
HOUSE/AK01 YOUNG&AKRP ENDORSEMENT,Contrast
HOUSE/AK01 YOUNG&AKRP SPENDING MILLIONS,Contrast
HOUSE/AL01 AVERHART MAN OF THE PEOPLE,Support
HOUSE/AL01 CARL LOST THEIR MIND,Support
HOUSE/AL02 HARVEY-HALL MAKE THE RIGHT INVESTMENTS,Support
HOUSE/AL02 MOORE APPROVES PRESIDENT DONALD,Support
HOUSE/AL04 ADERHOLT ADOPTION 60,Support
HOUSE/AL04 ADERHOLT CHINA,Support
HOUSE/AL04 ADERHOLT THE INTERNET,Support
HOUSE/AR02 ELLIOTT A LITTLE SECRET,Contrast
HOUSE/AR02 ELLIOTT I APPROVE,Support
HOUSE/AR02 ELLIOTT KIDNEY TRANSPLANT,Support
HOUSE/AR02 ELLIOTT MY GRANDMOTHERS HOUSE,Support
HOUSE/AR02 ELLIOTT REPUBLICANS AGREE,Contrast
HOUSE/AR02 ELLIOTT TEACHER,Support
HOUSE/AR02 ELLIOTT THE MOST IMPORTANT ELECTION,Support
HOUSE/AR02 ELLIOTT THESE ARE MY MOTHERS HANDS 60,Contrast
HOUSE/AR02 ELLIOTT WHAT TOUGHENED ME UP 60,Contrast
HOUSE/AR02 HILL BEEN A TOUGH YEAR,Support
HOUSE/AR02 HILL CELLPHONE BILL,Contrast
HOUSE/AR02 HILL CUT TAXES,Support
HOUSE/AR02 HILL DEPENDANT ON CHINA,Support
HOUSE/AR02 HILL KNOW WHAT IT TAKES,Support
HOUSE/AR02 HILL SECRET,Contrast
HOUSE/AR02 HILL WASHINGTON ALLIES,Contrast
HOUSE/AR02 HILL WHEN MY DAD WENT TO CONGRESS,Support
HOUSE/AR03 WILLIAMS NURSE AND PROUD ARKANSAN,Contrast
HOUSE/AR03 WILLIAMS WE KNOW CHICKENS,Contrast
HOUSE/AR03 WOMACK I BELIEVE,Support
HOUSE/AR04 HARTZLER CHINA LIED,Support
HOUSE/AR04 WESTERMAN I DISAGREE,Support
HOUSE/AZ01 OHALLERAN HEALTHCARE,Contrast
HOUSE/AZ01 OHALLERAN&DCCC PROTECTED OUR FAMILIES,Support
HOUSE/AZ02 MARTIN FRED DAVIS 15,Support
HOUSE/AZ02 MARTIN PEGGY DAVIS 15,Support
HOUSE/AZ06 TIPIRNENI BETRAYED US,Contrast
HOUSE/AZ06 TIPIRNENI FIGHT CORRUPTION,Contrast
HOUSE/AZ06 TIPIRNENI IN THE ER,Support
HOUSE/CA01 DENNEY TREE SHAKER,Support
HOUSE/CA04 KENNEDY FIRES,Contrast
