ad_id,ad_tone
x_337588521869565,Promote
x_340739824879297,Promote
x_1197496357686086,Promote
x_713413686632853,Promote
x_1166337070929892,Contrast
x_1488402328326977,Attack
x_791266435262147,Promote
x_925247645025392,Contrast
x_1476431859482281,Promote
x_1146379869634805,Attack
x_437726168442154,Attack
x_326503536282703,Promote
x_1045341769739325,Promote
x_877710893406682,Attack
x_805291937419857,Attack
x_1250640128828668,Attack
x_455840189987163,Contrast
x_1508004543013222,Contrast
x_1163417824248594,Contrast
x_1720304935021982,Contrast
x_854131848959932,Contrast
x_1263849701130416,Contrast
x_983700546355763,Contrast
x_875552373876097,Contrast
x_490344126476709,Contrast
x_1553491118432434,Contrast
x_832088241255978,Contrast
x_522090215997838,Promote
x_510283404300979,Promote
x_541512474641048,Promote
x_610874890733532,Promote
x_692314462128705,Promote
x_512664330469610,Promote
x_628655292092867,Promote
x_740391507153455,Promote
x_448607310472467,Promote
x_2268691019950900,Promote
x_469815258430709,Promote
x_877853670038446,Promote
x_792038819421230,Promote
x_1383646842457332,Promote
x_849709489500971,Promote
x_794308028537314,Promote
x_460069219340553,Promote
x_1545920629179843,Promote
x_481091690653385,Promote
x_1188518425344148,Promote
x_513958163625668,Promote
x_493294029397057,Promote
x_1771843886512948,Promote
x_816980292693614,Promote
x_1201314823781489,Promote
x_2958411307794780,Promote
x_875293136976026,Promote
x_1554708521632118,Promote
x_840390800302416,Promote
x_1804380169923275,Promote
x_663634751780088,Promote
x_1329043747922215,Promote
x_657264369320916,Promote
x_1096470867678662,Promote
x_825481908900253,Promote
x_2908539952613650,Contrast
x_446701644245717,Promote
x_1060817414590816,Promote
x_499564088733403,Contrast
x_497611935596200,Promote
x_509596140759922,Contrast
x_780364463025031,Promote
x_1275206996597621,Promote
x_451536477069394,Contrast
x_777723946860188,Contrast
x_1825790604446930,Promote
x_507265661330491,Promote
x_5553069028107142,Promote
x_490240923045197,Promote
x_655052812664815,Promote
x_554113090055213,Promote
x_502165785130754,Promote
x_437718038483707,Contrast
x_824616105329746,Promote
x_5531658136950107,Promote
x_579364870611579,Contrast
x_679813483178879,Promote
x_617736030051284,Promote
x_654827029654372,Promote
x_1483949902124987,Promote
x_1509061349505883,Promote
x_1206888433195237,Promote
x_1451905895342697,Promote
x_1459883551084151,Promote
x_810062673746261,Promote
x_475579624447412,Promote
x_1485834778579184,Promote
x_657484132658199,Promote
x_5559279310830002,Promote
x_810881916932072,Promote
x_602365798231697,Promote
x_1741220966234630,Promote
x_714723739827227,Promote
x_628072995177950,Promote
x_776302067048465,Contrast
x_675144204134130,Promote
x_653436816152038,Promote
x_2152307431643249,Promote
x_503269885038270,Promote
x_8124243564314619,Promote
x_490311149497181,Promote
x_4912479875522195,Promote
x_625228225794098,Promote
x_1160164641550197,Promote
x_1162888860980401,Promote
x_1491047684656675,Promote
x_404513548540365,Promote
x_428563726137063,Promote
x_1797049087301613,Promote
x_1608946489503719,Promote
x_453852683502640,Attack
x_524553262393206,Promote
x_2327182137442965,Attack
x_528875368609842,Attack
x_415801537408707,Attack
x_1509816369516668,Promote
x_511286760905677,Promote
x_1182697862653453,Contrast
x_732609121846101,Contrast
x_711814210513984,Attack
x_516234459884848,Promote
x_805531293860482,Promote
x_649239009914042,Promote
x_788207969150022,Promote
x_453021926937443,Promote
x_890412041961439,Promote
x_3324499494474547,Promote
x_1327873778047085,Promote
x_1852951108388419,Promote
x_544579074146136,Promote
x_3322895607929050,Promote
x_2015912561939146,Promote
x_969644650513822,Promote
x_662869768504654,Promote
x_479032324187141,Contrast
x_744952437281055,Promote
x_844695046686230,Promote
x_638199164605857,Contrast
x_397070069306188,Contrast
x_841026713877171,Contrast
x_881159156600948,Promote
x_481259450452248,Contrast
x_2137314466451289,Contrast
x_463371002300234,Contrast
x_516164526693513,Contrast
x_680112260116848,Promote
x_1152098922337325,Promote
x_777870389941521,Promote
x_803186814226878,Promote
x_5715831608476314,Attack
x_776620793608181,Attack
x_428395489463821,Promote
x_1536673386767194,Contrast
x_516359303353318,Promote
x_667304234824487,Promote
x_490501846274373,Promote
x_798297601396094,Promote
x_884950499063057,Promote
x_492652186091221,Attack
x_496496285831873,Promote
x_1236340016937104,Promote
x_1428906487578788,Promote
x_489518236464133,Promote
x_1190013594916509,Promote
x_1044237466199887,Promote
x_5046191715434052,Promote
x_656356382326052,Promote
x_397952891668255,Promote
x_503669015006607,Promote
x_1498246273922254,Promote
x_498619782322835,Promote
x_8206521019422855,Promote
x_537555355043604,Promote
x_500806065272038,Promote
x_651188003155578,Promote
x_3399856606928021,Promote
x_1177342796543636,Promote
x_847745039986383,Contrast
x_861072891759191,Promote
x_511744894187272,Promote
x_816135066371800,Promote
x_508705687559751,Promote
x_585668420024839,Promote
x_643573214090229,Promote
x_521520759449976,Promote
x_842737580091986,Promote
x_486247673541290,Promote
x_634386978381647,Promote
x_638931834453346,Promote
x_630387942085068,Promote
x_645390087177401,Promote
x_638169264652441,Promote
x_660208139047260,Promote
x_3266942163526979,Promote
x_1187369225186495,Promote
x_779714536435628,Promote
x_3356621921259530,Promote
x_453029136842056,Promote
x_629444928815708,Promote
x_1072049270333667,Promote
x_1406575163089800,Promote
x_2002940079880865,Promote
x_663890458435429,Promote
x_424175999891738,Promote
x_1173461986896485,Promote
x_834614194553611,Promote
x_3231278033752493,Promote
x_846710096689407,Promote
x_2640463822757779,Promote
x_1820815808278950,Promote
x_684505329472376,Promote
x_1804057576608884,Promote
x_426824716287412,Promote
x_603291998239985,Promote
x_1561592474270525,Promote
x_493413252837493,Promote
x_362258826066058,Promote
x_442163244670951,Promote
x_1137726067119047,Promote
x_5553655564747083,Promote
x_527317182095234,Promote
x_637314241370437,Promote
x_682557666400391,Promote
x_822399452292489,Promote
x_601464918424462,Promote
x_828421718506952,Promote
x_2933308710308286,Promote
x_853711019318843,Promote
x_5990879537611591,Promote
x_5327964233996066,Promote
x_1167744184093750,Promote
x_3397819650542964,Promote
x_1150363299248504,Contrast
x_845236903319528,Contrast
x_349002810739286,Contrast
x_472332174705282,Promote
x_1156423748329082,Promote
x_1283423289098741,Promote
x_528265601973355,Promote
x_419625300325693,Promote
x_1487551011751428,Contrast
x_871263740561606,Promote
x_386275763377840,Promote
x_710999053278830,Promote
x_667094958396510,Promote
x_462547359089563,Promote
x_828984661882606,Promote
x_498607068807780,Promote
x_5710964788963127,Promote
x_671890390971124,Promote
x_1312266446194073,Promote
x_5709401525802977,Promote
x_1788616504839069,Promote
x_3253343734907694,Promote
x_1118681149037954,Promote
x_1557790418007220,Promote
x_1744525199249676,Promote
x_1430341817490224,Promote
x_3361623877404044,Promote
x_967212724244469,Promote
x_622882226187830,Promote
x_501897188317757,Promote
x_3389863734665797,Promote
x_5504569589626693,Promote
x_548071697053074,Promote
x_1053577098765419,Promote
x_2965930287046230,Promote
x_839438477210523,Promote
x_5606236082756350,Promote
x_1918224688384262,Promote
x_2996761683955352,Contrast
x_825452215243292,Contrast
x_683775086498754,Contrast
x_463144772577960,Attack
x_2013496158846320,Promote
x_647351093500585,Promote
x_1250552805511917,Promote
x_522107373093647,Attack
x_409565484545643,Attack
x_861584958183040,Attack
x_517627763521640,Promote
x_508370030891613,Promote
x_826317032134712,Contrast
x_5730418557002059,Contrast
x_457256586471531,Promote
x_454089863454448,Promote
x_3244996002408937,Promote
x_388033896739795,Promote
x_476552187834539,Promote
x_1772065323164659,Contrast
x_5965726400105801,Contrast
x_497694448882632,Contrast
x_819599199236189,Contrast
x_1228148197753838,Contrast
x_1277092766390837,Promote
x_876323473540660,Promote
x_2797319603744695,Contrast
x_3200088926906922,Attack
x_3124791354499924,Promote
x_824171355373394,Promote
x_1518050648617670,Promote
x_421331870189239,Promote
x_3527299224169596,Promote
x_899921017655794,Promote
x_1070067290347759,Promote
x_5815431941835432,Promote
x_483443580387375,Promote
x_3324282321133733,Promote
x_344463384205979,Promote
x_5021380314605486,Promote
x_3193898600856772,Promote
x_511793507267258,Promote
x_1047930842543288,Contrast
x_479940697439368,Contrast
x_890134728675932,Promote
x_512081330810240,Contrast
x_1142986429732336,Contrast
x_1463526770811255,Contrast
x_890277365231930,Promote
x_1737022090012669,Contrast
x_3280542608930611,Contrast
x_486017006890001,Promote
x_658183815815478,Promote
x_2276950402464850,Promote
x_836880584129061,Promote
x_5785198574873372,Promote
x_483325937089484,Promote
x_674671894255648,Promote
x_514856253588507,Promote
x_617254826857329,Promote
x_516263076735297,Contrast
x_802406600874277,Contrast
x_779430443165097,Contrast
x_842632446923133,Contrast
x_2889207208040874,Contrast
x_3395600884004513,Contrast
x_833058774551169,Contrast
x_903019624016095,Promote
x_3315809565348349,Contrast
x_425273446431651,Contrast
x_676137993804331,Contrast
x_672910241219110,Contrast
x_798195928073297,Contrast
x_630322925212015,Contrast
x_467979115398861,Promote
x_1173355453614903,Contrast
x_648852980129252,Promote
x_1135373057352856,Contrast
x_919319479455338,Contrast
x_1070025683669592,Contrast
x_521503119813487,Contrast
x_645661403604414,Contrast
x_818917932643448,Attack
x_1864506953899444,Promote
x_375618604708625,Contrast
x_1048086992550485,Contrast
x_1123114861672615,Contrast
x_426731366091676,Contrast
x_641509030788240,Attack
x_8213668812008223,Promote
x_1353193265213882,Contrast
x_449505353950927,Contrast
x_447276440769411,Contrast
x_3190686281261126,Attack
x_1282346679244839,Contrast
x_1354182075114568,Promote
x_481141970455743,Promote
x_919427622368045,Promote
x_1518300891965918,Contrast
x_1309715403168518,Contrast
x_787003202570582,Promote
x_454238683436256,Promote
x_848151846213126,Promote
x_3281094422161853,Promote
x_794432915124405,Promote
x_619645459904460,Promote
x_1707784876287711,Promote
x_802973880857066,Promote
x_635518581366106,Promote
x_1652739555140648,Promote
x_597031992097122,Contrast
x_1785039888528046,Promote
