ad_id,ad_tone
CR279958406578569216,Contrast
CR443104766541692928,Contrast
CR554916302993489920,Contrast
CR106822090123902976,Promote
CR106901942155870208,Attack
CR108464004581556224,Contrast
CR108489018471088128,Attack
CR114461840511074304,Contrast
CR114559697045946368,Attack
CR127328875335122944,Promote
CR129156607257870336,Promote
CR133468273386717184,Contrast
CR141187669647425536,Attack
CR148763029884895232,Attack
CR150428790000975872,Attack
CR156590453163032576,Attack
CR175833281038647296,Contrast
CR178268699294171136,Contrast
CR182665646293647360,Contrast
CR18656169702719488,Promote
CR188058475949981696,Contrast
CR189851779414884352,Attack
CR202801964805783552,Promote
CR203188030826086400,Attack
CR204128113267834880,Contrast
CR20714524189392896,Promote
CR207418951569768448,Contrast
CR210242222551990272,Attack
CR211100116499562496,Contrast
CR21463772644245504,Attack
CR225736815288516608,Contrast
CR22969278940577792,Contrast
CR245387630697512960,Attack
CR245617085030334464,Promote
CR247976362105634816,Attack
CR251927182262140928,Contrast
CR256819184372023296,Promote
CR271345382242385920,Contrast
CR28519338759684096,Attack
CR286011767845289984,Contrast
CR288071290563067904,Promote
CR289599474286723072,Attack
CR289758903472750592,Contrast
CR291354569722560512,Attack
CR296845530791673856,Attack
CR301806802134106112,Contrast
CR339787232292372480,Promote
CR342516769908326400,Contrast
CR343416307858800640,Promote
CR345176763413823488,Contrast
CR354820442462093312,Attack
CR359613351086522368,Contrast
CR360544087679434752,Promote
CR360827211923587072,Contrast
CR371978458852491264,Contrast
CR380253108485226496,Contrast
CR395011853064863744,Contrast
CR397613572454088704,Contrast
CR419237392759652352,Contrast
CR419545530893336576,Contrast
CR429750373188632576,Promote
CR436452996071555072,Promote
CR43957100488949760,Attack
CR446382410704093184,Attack
CR446398903378509824,Contrast
CR452892619052154880,Attack
CR456724691952861184,Contrast
CR460614214336118784,Contrast
CR461146377963962368,Contrast
CR463244521027665920,Contrast
CR473614015189221376,Contrast
CR473697028317118464,Promote
CR477270990863204352,Contrast
CR479389749769928704,Attack
CR481412576287129600,Attack
CR486153807865053184,Attack
CR488988761158320128,Contrast
CR489730931507068928,Promote
CR496828004186456064,Promote
CR504000943168159744,Contrast
CR505931685586534400,Attack
CR515282207347048448,Contrast
CR517661550509555712,Attack
CR517861661625810944,Contrast
CR546359903506137088,Contrast
CR561290584216567808,Contrast
CR561626897335713792,Contrast
CR566585419899076608,Contrast
CR571386437421760512,Promote
CR5719865646120960,Contrast
CR574995309462028288,Contrast
CR75153200306454528,Promote
CR81243395212705792,Contrast
CR117054214051463168,Contrast
CR14107490098610176,Promote
CR178200804451155968,Promote
CR292237202681757696,Promote
CR309970126214529024,Contrast
CR318751375829762048,Promote
CR352158937128108032,Attack
CR364462197365014528,Contrast
CR479739394467561472,Contrast
CR4991988948533248,Contrast
CR562414147661201408,Contrast
CR77964376660770816,Contrast
CR96386144228343808,Attack
CR100017006501167104,Contrast
CR100021679425585152,Promote
CR100022778937212928,Promote
CR100063735745347584,Promote
CR100091223536041984,Promote
CR100106616698830848,Promote
CR100130531076734976,Promote
CR100131905466269696,Attack
CR100176985443008512,Attack
CR100204748111609856,Promote
CR100242956140675072,Promote
CR100268244908113920,Promote
CR100274567099973632,Contrast
CR100286661727879168,Promote
CR100288310995320832,Promote
CR100373248268566528,Promote
